Grant ID & Element,Grant Name,Sponsor,County,State,Grant Amount,Year Approved,Year Completed,Type
586 - XXX,STRATHAM HILL PARK RESTORATION,TOWN OF STRATHAM,ROCKINGHAM,NH,19519.50,1992,1992,Development
585 - XXX,MILTON SCHOOL PLAYGROUND,MILTON SCHOOL DIST.,STRAFFORD,NH,12335.50,1992,1995,Development
590 - XXX,DEPOT STREET BOAT ACCESS,TOWN OF MERRIMACK,HILLS,NH,25499.26,1993,1995,Development
591 - XXX,OAK PARK,TOWN OF GREENFIELD,HILLSBOROUGH,NH,27400.74,1993,1996,Development
592 - XXX,MULDOON PARK III,TOWN OF PELHAM,HILLSBOROUGH,NH,13763.75,1993,1995,Development
597 - XXX,PEMBROKE TENNIS COURTS,TOWN OF PEMBROKE,MERRIMACK,NH,25611.05,1993,1995,Development
589 - XXX,NORTHWOOD MEADOWS/UMBAGOG,DEPT. OF RESOURCES & ECONOMIC DEV.,MULTI-COUNTY,NH,179806.68,1993,1996,Acquisition
598 - XXX,N.H. OUTDOOR RECREATION PLAN TWELVE,DEPT. OF RESOURCES & ECONOMIC DEV.,PLANNING,NH,102300.45,1993,1997,Planning
581 - XXX,ODIORNE LAND ADDITIONS,DEPT. OF RESOURCES & ECONOMIC DEV.,ROCKINGHAM,NH,224000.00,1993,1994,Acquisition
588 - XXX,PIERCE ISLAND PLAYGROUND,CITY OF PORTSMOUTH,ROCKINGHAM,NH,17771.20,1993,1994,Development
594 - XXX,WEST END PARK-EXETER,TOWN OF EXETER,ROCKINGHAM,NH,25707.02,1993,1997,Development
596 - XXX,RAYMOND COMMUNITY BEACH,RAYMOND SCHOOL DIST.,ROCKINGHAM,NH,27654.40,1993,1997,Development
593 - XXX,NEWPORT RECREATION AREA TRAILS,TOWN OF NEWPORT,SULLIVAN,NH,16768.03,1993,1996,Development
595 - XXX,"NIEMELA LAND, PETERBOROUGH",TOWN OF PETERBOROUGH,HILLS,NH,27500.00,1994,1995,Acquisition
599 - XXX,LOWER NASHUA RIVER TRAIL,CITY OF NASHUA,HILLS,NH,25930.90,1994,1996,Development
600 - XXX,GAZEBO ON THE COMMON,TOWN OF NEW BOSTON,HILLS,NH,25850.38,1994,1995,Development
603 - XXX,MERRIFIELD PARK,TOWN OF HUDSON,HILLSBOROUGH,NH,18215.00,1994,1997,Development
601 - XXX,STRATHAM HILL PARK BALLFIELD,TOWNOF STRATHAM,ROCKINGHAM,NH,21889.00,1994,1996,Development
602 - XXX,PIERCE ISLAND BRIDGE,CITY OF PORTSMOUTH,ROCKINGHAM,NH,21500.00,1994,1995,Development
604 - XXX,WILLAND POND,CITY OF DOVER,STRAFFORD,NH,26942.81,1994,1996,Development
610 - XXX,MARLBOROUGH RAIL TRAIL,TOWN OF MARLBOROUGH,CHESHIRE,NH,6456.45,1995,1996,Acquisition
607 - XXX,MOORE'S FALLS ACQUISITION,TOWN OF LITCHFIELD,HILLS,NH,27527.50,1995,1996,Acquisition
605 - XXX,ARGUE POOL PAVILIONS,TOWN OF PITTSFIELD,MERRIMACK,NH,10710.61,1995,1996,Development
606 - XXX,CAMMETT COMPLEX,TOWN OF RAYMOND,ROCKINGHAM,NH,16499.84,1995,1997,Development
608 - XXX,RAND POND ACQUISITION,TOWN OF GOSHEN,SULLIVAN,NH,23134.00,1995,1996,Acquisition
611 - XXX,SOUHEGAN RIVER PARK,TOWN OF MILFORD,HILLSBOROUGH,NH,26901.87,1996,1996,Acquisition
609 - XXX,WOODLOCK/POPE ROAD RECREATION AREA,TOWN OF ATKINSON,ROCKINGHAM,NH,26901.87,1996,1997,Development
612 - XXX,COCHECHO RIVER WALKWAY II,CITY OF DOVER,STRAFFORD,NH,26901.87,1996,1997,Development
613 - XXX,STATE PARK ACQ. IV,NH DRED,MULTI-COUNTY,NH,43192.14,1997,1998,Acquisition
614 - XXX,State Park Support Facility Project,Dept. of Resources & Economic Dev.,MULTI-COUNTY,NH,390102.64,2000,2005,Development
615 - XXX,Hinsdale Municipal Pool Project,Township of Hinsdale,CHESHIRE,NH,81459.18,2001,2003,Development
617 - XXX,Livingston Park Trail and Waterfront Improvements,City of Manchester,HILLSBOROUGH,NH,220004.96,2001,2006,Redevelopment
616 - XXX,FRANKLIN GATEWAY P & REC. ACCESS,City of Franklin,MERRIMACK,NH,110000.00,2001,2005,Development
619 - XXX,Franconia Notch State Park Summit,State of New Hampshire - DRED,GRAFTON,NH,753416.68,2002,2005,Redevelopment
624 - XXX,Warner Riverside Park,Town of Warner,MERRIMACK,NH,95553.50,2002,2006,Development
620 - XXX,West Road Recreation Facility,Town of Londonderry,MULTI-COUNTY,NH,110079.97,2002,2003,Development
625 - XXX,Conway Village Park,Conway Village Fire District,MULTI-COUNTY,NH,110009.90,2002,2005,Development
622 - XXX,State Comprehensive Outdoor Recreation Plan,State of New Hampshire,PLANNING,NH,47668.32,2002,2004,Planning
627 - XXX,Silver Sands Recreation Area,Town of Chester,ROCKINGHAM,NH,110009.90,2002,2004,Acquisition
621 - XXX,Willand Pond Conservation & Recreation Improvement,City of Dover,STRAFFORD,NH,52764.44,2002,2005,Development
632 - XXX,Tardif Park Accessible Playground Project,City of Laconia,BELKNAP,NH,48404.35,2003,2006,Development
634 - XXX,Frances A. Eames Recreation Wilderness Area,Town of Meredith,BELKNAP,NH,110009.90,2003,2006,Acquisition
626 - XXX,Community Recreation Park,Gov. Wentworth Regional School District,CARROLL,NH,110009.90,2003,2004,Acquisition
639 - XXX,Farmington Downtown Greenbelt,Town of Farmington,CARROLL,NH,106709.60,2003,2005,Acquisition
635 - XXX,Monadnock State Park Development & Acquisition,State of New Hampshire,CHESHIRE,NH,701617.18,2003,2008,Combination
637 - XXX,Errol Boat Ramp,Town of Errol,COOS,NH,9989.78,2003,2006,Development
631 - XXX,Shattuck Pond Project,Town of Francestown,HILLSBOROUGH,NH,96258.66,2003,2005,Acquisition
633 - XXX,Pelham Field Construction and Land Restoration,Town of Pelham,HILLSBOROUGH,NH,51150.00,2003,2008,Development
636 - XXX,Corneliusen Parcel,Town of Derry,HILLSBOROUGH,NH,110009.90,2003,2005,Acquisition
629 - XXX,Sandongardy Pond Beach,Town of Northfield,MERRIMACK,NH,71500.00,2003,2006,Development
